question,answer,category
What is the difference between Grep and Glob built-in tools,Grep searches inside files for content patterns (function names error messages imports). Glob searches for files by name or extension pattern (e.g. **/*.test.tsx).,fundamental
When does Edit fail and what is the fallback,Edit fails when the target text is not unique in the file. Fallback: Read the full file modify the content programmatically then Write the updated file.,fundamental
What is the CLAUDE.md configuration hierarchy,User-level (~/.claude/CLAUDE.md — personal not shared) ’ Project-level (.claude/CLAUDE.md or root CLAUDE.md — version controlled shared with team) ’ Directory-level (subdirectory CLAUDE.md files for local overrides),fundamental
What is the @import syntax in CLAUDE.md,References external files to keep CLAUDE.md modular. Allows each package or directory to import only the relevant standards files rather than loading everything in one monolithic file.,fundamental
Claude Architect Certification Fundamental Study online at https://quizlet.com/_j7v4lj What is the .claude/rules/ directory used for,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md. Each file has YAML frontmatter with a paths field containing glob patterns for conditional activation.,fundamental
What is the advantage of glob-pattern rules over directory-level CLAUDE.md files,Glob patterns can apply conventions to files spread across multiple directories (e.g. all test files regardless of location) while CLAUDE.md files are directory-bound.,fundamental
What is the context: fork frontmatter option in skills,Runs a skill in an isolated sub-agent context preventing verbose skill outputs from polluting the main conversation's context window.,fundamental
What is the allowed-tools frontmatter option in skills,Restricts which tools are available during skill execution — e.g. limiting to file write operations to prevent destructive actions during a specific skill.,fundamental
What is the difference between project-scoped and user-scoped slash commands,Project-scoped commands live in .claude/commands/ committed to version control and available to all team members. User-scoped commands live in ~/.claude/commands/ and are personal — not shared via version control.,fundamental
When should you use plan mode vs direct execution,"""Plan mode: complex tasks with large-scale changes multiple valid approaches architectural decisions multi-file modifications. Direct execution: simple well-scoped single-file changes with a clear stack trace or known fix.""",fundamental
What is the -p flag in Claude Code CLI,Runs Claude Code in non-interactive (print) mode — processes the prompt outputs to stdout and exits without waiting for user input. Required for CI/CD pipelines to prevent interactive hangs. 6 / 11,fundamental
What flags enable structured output in CI/CD,--output-format json combined with --json-schema produces machine-parseable structured findings suitable for automated posting as inline PR comments.,fundamental
Why should a separate Claude instance review generated code instead of self-review,The generator retains its reasoning context making it less likely to question its own decisions. An independent review instance without prior reasoning context catches more subtle issues.,fundamental
"What is the core problem with vague prompt instructions like ""be conservative""","Vague instructions give Claude no actionable framework. It still has to decide what ""conservative"" means for every finding and will decide inconsistently. Explicit categorical criteria always outperform confidence-based filtering.",fundamental
What is the trust cascade problem with false positives,High false-positive categories train developers to dismiss everything reflexively — including accurate findings in other categories. The fix is either razor-sharp criteria with code examples or temporarily disabling the category entirely.,fundamental
What should you define in an explicit review prompt,What TO report (with concrete code examples for each severity level) AND what to SKIP (acceptable patterns naming conventions TODO comments). Both definitions are required.,fundamental
What are the four characteristics of a good few-shot example,2-4 examples targeting ambiguous cases (not easy ones) showing reasoning for why one action was chosen over alternatives demonstrating exact output format and distinguishing acceptable patterns from genuine issues.,fundamental
What is the mental model for instructions vs few-shot examples,Instructions are the rules. Few-shot examples are the case law. Rules define what's legal. Case law shows how ambiguous situations were actually decided — teaching judgment not just format. 7 / 11,fundamental
"What is the key reason few-shot ""skip"" examples matter",They teach Claude what NOT to flag which directly reduces false positives. Without them Claude over-reports acceptable patterns as issues.,fundamental
What is the most reliable method for guaranteed schema-compliant structured output,"tool_use with a JSON schema as input parameters. Forces schema compliance and eliminates JSON syntax errors. tool_choice: ""any"" guarantees the model calls a tool rather than returning conversational text.",fundamental
What do strict JSON schemas via tool_use NOT prevent,Semantic errors — values in wrong fields line items that don't sum to totals inconsistent data. Syntax is guaranteed; semantics must be validated separately.,fundamental
Why should schema fields for potentially absent information be nullable,To prevent the model from fabricating values to satisfy required fields. Nullable fields allow Claude to return null when source documents don't contain the information.,fundamental
What is retry-with-error-feedback,A validation loop where specific validation errors are appended to the prompt on retry to guide the model toward self-correction. Effective for format mismatches not for information absent from the source document.,fundamental
What are the key characteristics of the Message Batches API,50% cost savings processing window up to 24 hours no guaranteed latency SLA no multi-turn tool calling support. Use custom_id fields to correlate request/response pairs.,fundamental
Claude Architect Certification Fundamental Study online at https://quizlet.com/_j7v4lj appropriate vs inappropriate,Appropriate: latency-tolerant non-blocking workloads (overnight reports weekly audits nightly test generation). Inappropriate: blocking workflows that must complete before users can proceed (pre-merge checks).,fundamental
What are the three context degradation threats,1) Progressive summarization risk — numerical facts get smoothed into vague descriptions 2) Lost-in-the-middle effect — models process beginning and end reliably middle is degraded 3) Tool result bloat — verbose outputs accumulate consuming tokens,fundamental
"What is the ""case facts"" block technique",Extracting critical transactional data (amounts dates order numbers statuses) into a separate structured block included in every prompt outside of summarized history — so concrete facts are never lost to summarization.,fundamental
What is the lost-in-the-middle effect,Models reliably process information at the beginning and end of long inputs but may overlook information buried in the middle. Counter with deliberate placement: key summaries at the top explicit section headers throughout.,fundamental
What are the three legitimate escalation triggers,1) Customer explicitly requests a human (non-negotiable — honor immediately) 2) Policy exception or gap — policy is silent or ambiguous on the request 3) Agent cannot make meaningful progress after attempting resolution,fundamental
What should an agent do when a customer explicitly demands a human,Escalate immediately with no investigation no further attempts. This is a non-negotiable hard rule — it is not conditional on the agent's assessment of case complexity.,fundamental
Why are sentiment-based escalation and self-reported confidence scores unreliable escalation proxies,Sentiment does not correlate with case complexity — angry customers may have simple issues. Claude's self-reported confidence is poorly calibrated — high confidence can coexist with wrong answers. 9 / 11,fundamental
What is the policy gap escalation rule,When a customer's request falls in an area where policy is silent or ambiguous the agent must escalate rather than applying existing policy by analogy. Silence in the policy is a gap and gaps belong to humans.,fundamental
What is the difference between an access failure and a valid empty result in error propagation,Access failure: timeout 500 error connection dropped — the query never completed. Coordinator should retry or use fallback. Valid empty result: query succeeded normally but no matching records exist. Coordinator should confidently report no record found.,fundamental
What structured error context should a subagent return to the coordinator,"failure_type what_was_attempted partial_results retry_recommended and potential alternative approaches. Generic statuses like ""service unavailable"" strip decision-critical context from the coordinator.",fundamental
What is the scratchpad file technique for codebase exploration,The agent maintains a file on disk recording key findings as exploration proceeds. When answering later questions it reads the scratchpad first — findings persist on disk independent of the context window.,fundamental
What is the symptom of context degradation in codebase exploration,"Early in the session the agent references specific classes it discovered. Later it starts talking about ""typical patterns"" — generic training knowledge replacing its own session findings because earlier discoveries were pushed out of context.",fundamental
What is the /compact command in Claude Code,A command that compresses verbose context accumulated during extended exploration sessions — reducing context usage so the session can continue. A pragmatic escape valve not a replacement for architectural context management.,fundamental
Claude Architect Certification Fundamental Study online at https://quizlet.com/_j7v4lj What is the aggregate metric trap in human review,High overall accuracy (e.g. 97%) can mask poor performance on specific document types or fields. Example: 99.5% on standard invoices but 74% on international documents. Always validate accuracy by document type and field segment.,fundamental
What is stratified random sampling in human review,Pulling samples from each document type and field category including high-confidence extractions — to catch calibration drift and detect novel error patterns. This is an ongoing process not a one-time validation.,fundamental
What is the provenance problem in multi-source synthesis,When subagents gather information from multiple sources the synthesis agent can lose source attribution temporal context and silently resolve conflicts by averaging — destroying the information needed to evaluate reliability.,fundamental
How should conflicting statistics from credible sources be handled in synthesis,Include both values with explicit source annotation and publication dates. The subagent does not pick a winner. The coordinator or end user decides how to reconcile. Conflicts are preserved never hidden.,fundamental
Why are publication dates required in subagent structured outputs,To prevent temporal differences from being misinterpreted as contradictions. Two figures from 2021 and 2023 may reflect market growth not a conflict — without dates the synthesis agent treats them as contradictory claims about the same point in time. 11 / 11,fundamental
What is the primary focus of Scenario 2: Code Generation with Claude Code,"Accelerating software development through code generation, refactoring, debugging, and documentation.",foundations
What does the Multi-Agent Research System scenario involve,Building a system where a coordinator agent delegates tasks to specialized subagents for research.,foundations
What tools does the Developer Productivity scenario utilize,"Built-in tools like Read, Write, Bash, Grep, Glob.",foundations
What is the purpose of integrating Claude Code into CI/CD pipelines,"To run automated code reviews, generate test cases, and provide feedback on pull requests.",foundations
What is the goal of the Structured Data Extraction scenario,To extract information from unstructured documents and validate the output using JSON schemas.,foundations
What type of experience is ideal for candidates of the Claude Certified Architect exam,"6+ months of practical experience building with Claude APIs, Agent SDK, Claude Code, and MCP.",foundations
What is the significance of scenario-based questions in the exam,They present realistic production contexts that frame a set of questions.,foundations
What happens to unanswered questions in the Claude Certified Architect exam,They are scored as incorrect.,foundations
What is the role of distractors in the exam questions,They are incorrect response options that candidates with incomplete knowledge might choose.,foundations
What is the focus of the exam's content outline,"It includes weightings, content domains, and task statements for the exam. 1 / 14",foundations
What is the primary goal of the exam preparation strategies recommended in the guide,To prepare effectively alongside hands-on experience.,foundations
What does the candidate need to demonstrate in the exam,"Both conceptual knowledge and practical judgment about architecture, configuration, and tradeoffs.",foundations
What is the agentic loop lifecycle,"Sending requests to Claude, inspecting stop_reason, executing requested tools, and returning results for the next iteration.",foundations
What distinguishes model-driven decision-making from pre-configured decision trees,Model-driven decision-making involves Claude reasoning about which tool to call next based on context.,foundations
What is the hub-and-spoke architecture in multi-agent systems,"A structure where a coordinator agent manages all inter-subagent communication, error handling, and information routing.",foundations
How do subagents operate in relation to the coordinator's context,Subagents operate with isolated context and do not inherit the coordinator's conversation history automatically.,foundations
What is the role of the coordinator in task decomposition,"The coordinator is responsible for task decomposition, delegation, result aggregation, and deciding which subagents to invoke based on query complexity.",foundations
What are anti-patterns to avoid in agentic loop control flow,"Parsing natural language signals for loop termination, setting arbitrary iteration caps, or checking for assistant text content as a completion indicator.",foundations
What is the Task tool in subagent invocation,"The mechanism for spawning subagents, requiring allowedTools to include 'Task' for a coordinator to invoke subagents.",foundations
Why is it important to provide subagent context explicitly in the prompt,Subagents do not automatically inherit parent context or share memory between invocations.,foundations
What is the difference between programmatic enforcement and prompt-based guidance,"Programmatic enforcement uses hooks and prerequisite gates, while prompt-based guidance relies on instructions for workflow ordering.",foundations
What are structured handoff protocols,"Protocols for mid-process escalation that include customer details, root cause analysis, and recommended actions.",foundations
What is the significance of the MCP isError flag,It communicates tool failures back to the agent.,foundations
What are the types of errors distinguished in MCP,"Transient errors, validation errors, business errors, and permission errors.",foundations
What is scoped tool access in agent design,"Giving agents only the tools needed for their role, with limited cross-role tools for specific high-frequency needs.",foundations
What is the importance of tool descriptions for LLMs,They are the primary mechanism LLMs use for tool selection; minimal descriptions lead to unreliable selection.,foundations
What is the role of few-shot examples in prompt engineering,"They help achieve consistently formatted, actionable output and demonstrate ambiguous-case handling. 3 / 14",foundations
What is the purpose of structured error responses,To provide detailed error context that enables intelligent recovery decisions by the agent.,foundations
What is the benefit of using batch processing strategies,"It offers cost savings and is suitable for non-blocking, latency-tolerant workloads.",foundations
What is the significance of context management in long interactions,To preserve critical information and mitigate the 'lost in the middle' effect.,foundations
What are escalation triggers in customer interactions,"Customer requests for a human, policy exceptions, and inability to make meaningful progress.",foundations
What is the importance of preserving information provenance in synthesis,To maintain structured claim-source mappings and handle conflicting statistics appropriately.,foundations
What is the role of the Explore subagent,To isolate verbose discovery output and return summaries to preserve main conversation context.,foundations
What is the difference between session resumption and starting fresh with summaries,"Session resumption continues a specific prior conversation, while starting fresh uses a structured summary for reliability.",foundations
What are the advantages of path-specific rules in .claude/rules/,"They load only when editing matching files, reducing irrelevant context and token usage.",foundations
What is the purpose of the Message Batches API,To provide cost savings for processing workloads that are non-blocking and latency-tolerant.,foundations
What is the significance of structured claim-source mappings,They preserve original source characterizations and methodological context during synthesis.,foundations
What is the importance of defining explicit review criteria,To improve precision and reduce false positives in code reviews. 4 / 14,foundations
What is the role of the -p flag in CI/CD pipelines,"To run Claude Code in non-interactive mode, preventing interactive input hangs.",foundations
"What is the purpose of implementing validation, retry, and feedback loops",To improve extraction quality and guide the model toward correction.,foundations
What are the risks of aggregate accuracy metrics,They may mask poor performance on specific document types or fields.,foundations
What is the role of scratchpad files in context management,To persist key findings across context boundaries during extended sessions.,foundations
What is the significance of structured handoff summaries,"To compile customer ID, root cause, refund amount, and recommended action when escalating to human agents.",foundations
What is the importance of using argument-hint frontmatter in skills,To prompt developers for required parameters when invoking the skill without arguments.,foundations
What is the benefit of using few-shot prompting in extraction tasks,It reduces hallucination and improves output consistency.,foundations
What is the significance of the --output-format json flag,It enforces structured output in CI contexts.,foundations
What is the role of the coordinator in multi-agent systems,"To manage inter-subagent communication, error handling, and information routing.",foundations
What is the impact of false positive rates on developer trust,High false positive categories undermine confidence in accurate categories.,foundations
What is the importance of validating accuracy by document type,To ensure consistent performance across all segments before reducing human review. 5 / 14,foundations
What is the significance of using structured data formats in agent communication,To separate content from metadata when passing context between agents.,foundations
What is the purpose of using tool_choice configuration options,To control which tools an agent can access and ensure appropriate tool selection.,foundations
What is a key skill in orchestrating multi-agent systems,Designing coordinator agents that analyze query requirements and dynamically select which subagents to invoke.,foundations
What is the Task tool used for,It is the mechanism for spawning subagents.,foundations
Why must subagent context be explicitly provided in the prompt,Subagents do not automatically inherit parent context or share memory between invocations.,foundations
What is the importance of structured handoff protocols,"They include customer details, root cause analysis, and recommended actions for mid-process escalation.",foundations
What is the purpose of PostToolUse hooks,They intercept tool results for transformation before the model processes them.,foundations
What is the significance of the MCP isError flag pattern,It communicates tool failures back to the agent.,foundations
What are the risks of giving an agent access to too many tools,It degrades tool selection reliability by increasing decision complexity.,foundations
What is the principle of scoped tool access,"Giving agents only the tools needed for their role, with limited cross-role tools for specific high-frequency needs.",foundations
What is the Message Batches API used for,"It provides cost savings and is suitable for non-blocking, latency-tolerant workloads.",foundations
What is the advantage of using path-scoped rules in .claude/rules/ files,"They load only when editing matching files, reducing irrelevant context and token usage.",foundations
What is the purpose of few-shot examples in prompt engineering,"They help achieve consistently formatted, actionable output.",foundations
What is the role of structured claim-source mappings in synthesis,They preserve and merge findings while maintaining source attribution.,foundations
What is the importance of preserving information provenance,It prevents the loss of source attribution during summarization steps.,foundations
What is the significance of temporal data in structured outputs,It prevents temporal differences from being misinterpreted as contradictions.,foundations
What is the difference between direct execution and plan mode,"Direct execution is for simple changes, while plan mode is for complex tasks involving large-scale changes.",foundations
What is the importance of structured error context in multi-agent systems,It enables intelligent coordinator recovery decisions.,foundations
What is the significance of using structured data formats in context passing,It preserves attribution when passing context between agents.,foundations
What is the importance of explicit criteria in prompt design,It improves precision and reduces false positives.,foundations
What is the benefit of using few-shot examples for ambiguous-case handling,They demonstrate reasoning for why one action was chosen over plausible alternatives.,foundations
What is the role of the coordinator in managing session state,"It oversees session resumption, forking, and ensures context is maintained.",foundations
What is the purpose of structured handoff summaries,To provide essential information when escalating to human agents.,foundations
What is the significance of using the --resume flag,It allows continuation of a specific prior conversation.,foundations
What is the importance of diagnosing configuration hierarchy issues,To ensure new team members receive the correct instructions.,foundations
What is the role of the /memory command,To verify which memory files are loaded and diagnose inconsistent behavior.,foundations
What is the purpose of implementing local error recovery,To resolve transient failures before propagating errors to the coordinator.,foundations
What is the significance of using structured output in CI/CD pipelines,It ensures machine-parseable structured findings for automated posting.,foundations
What is the benefit of using argument-hint frontmatter in skills,It prompts developers for required parameters when invoking the skill.,foundations
What is the role of the .claude/rules/ directory,To organize topic-specific rule files as an alternative to a monolithic CLAUDE.md.,foundations
What is the purpose of using glob patterns in path-specific rules,To apply conventions to files by type regardless of directory location. 8 / 14,foundations
What is the significance of structured handoff protocols,They ensure that critical information is communicated during escalations.,foundations
What is the importance of using structured error metadata,It helps the agent make appropriate recovery decisions.,foundations
What is the role of the coordinator in task aggregation,It decides which subagents to invoke based on query complexity.,foundations
What is the purpose of the Task tool in agent orchestration,To facilitate the invocation of subagents.,foundations
What is the significance of using the fork_session command,It creates independent branches from a shared analysis baseline.,foundations
What is the importance of structured output schemas,"They guarantee schema-compliant structured output, eliminating syntax errors.",foundations
What is the role of few-shot prompting in improving output quality,It provides examples that help the model generalize judgment to novel patterns.,foundations
What is the benefit of using structured claim-source mappings in synthesis,They preserve original source characterizations and methodological context.,foundations
What is the significance of implementing feedback loops for extraction quality,They guide the model toward correction by appending specific validation errors.,foundations
What is the role of the Message Batches API,It allows for cost-effective processing of non-blocking workloads.,foundations
What is the importance of explicit escalation criteria,They guide the agent on when to escalate versus resolve autonomously. 9 / 14,foundations
What is the purpose of the --output-format json flag,It enforces structured output in CI contexts.,foundations
What is the significance of using the --print flag in CI/CD,It runs Claude Code in non-interactive mode to prevent hangs.,foundations
What change would most effectively address the issue of agents skipping get_customer,Add a programmatic prerequisite that blocks lookup_order and process_refund calls until get_customer has returned a verified customer ID.,foundations
What is the most effective first step to improve tool selection reliability for order-related queries,"Expand each tool's description to include input formats it handles, example queries, edge cases, and boundaries explaining when to use it versus similar tools.",foundations
How can escalation calibration be improved for agents that escalate straightforward cases,Add explicit escalation criteria to your system prompt with few-shot examples demonstrating when to escalate versus resolve autonomously.,foundations
Where should you create a custom /review slash command for a code review checklist,In the .claude/commands/ directory in the project repository.,foundations
What approach should you take to restructure a monolithic application into microservices,"Enter plan mode to explore the codebase, understand dependencies, and design an implementation approach before making changes.",foundations
What is the most maintainable way to ensure Claude applies the correct coding conventions,Create rule files in .claude/rules/ with YAML frontmatter specifying glob patterns to conditionally apply conventions based on file paths.,foundations
What is the most likely root cause for the synthesis agent's reports covering only visual arts,"The coordinator agent's task decomposition is too narrow, resulting in subagent assignments that don't cover all relevant domains of the topic.",foundations
What error propagation approach best enables intelligent recovery when the web search subagent times out,"Return structured error context to the coordinator including the failure type, the attempted query, any partial results, and potential alternative approaches.",foundations
What is the most effective approach to reduce overhead while maintaining system reliability in the synthesis agent,"Give the synthesis agent a scoped verify_fact tool for simple lookups, while complex verifications continue delegating to the web search agent through the coordinator.",foundations
What is the objective of Exercise 1,"Practice designing an agentic loop with tool integration, structured error handling, and escalation patterns.",foundations
What should be defined in Exercise 1,"3-4 MCP tools with detailed descriptions that clearly differentiate each tool's purpose, expected inputs, and boundary conditions.",foundations
What does the agentic loop check in Exercise 1,It checks stop_reason to determine whether to continue tool execution or present the final response.,foundations
What type of error responses should be added to the tools in Exercise 1,"Structured error responses including errorCategory, isRetryable boolean, and human-readable descriptions.",foundations
What is the objective of Exercise 2,"Practice configuring CLAUDE.md hierarchies, custom slash commands, path-specific rules, and MCP server integration for a multi-developer project. 11 / 14",foundations
What should be created at the project level in Exercise 2,A project-level CLAUDE.md with universal coding standards and testing conventions.,foundations
What should the .claude/rules/ files contain in Exercise 2,YAML frontmatter glob patterns for different code areas.,foundations
What is the objective of Exercise 3,"Practice designing JSON schemas, using tool_use for structured output, implementing validation-retry loops, and designing batch processing strategies.",foundations
What should the extraction tool in Exercise 3 include,"A JSON schema containing required and optional fields, an enum with an 'other' + detail string pattern, and nullable fields.",foundations
What is the goal of implementing a validation-retry loop in Exercise 3,To handle validation failures by sending follow-up requests including the document and specific validation error.,foundations
What is the objective of Exercise 4,"Practice orchestrating subagents, managing context passing, implementing error propagation, and handling synthesis with provenance tracking.",foundations
What should the coordinator agent do in Exercise 4,Delegate to at least two subagents and ensure each subagent receives its research findings directly in its prompt.,foundations
What is required for structured output in Exercise 4,"Each finding should include a claim, evidence excerpt, source URL/document name, and publication date.",foundations
What should be tested regarding conflicting source data in Exercise 4,Verify that the synthesis output preserves both values with source attribution rather than arbitrarily selecting one. 12 / 14,foundations
What is the Claude Agent SDK used for,"Agent definitions, agentic loops, stop_reason handling, hooks, subagent spawning, and allowedTools configuration.",foundations
What does the Model Context Protocol (MCP) include,"MCP servers, tools, resources, isError flag, tool descriptions, tool distribution, and .mcp.json configuration.",foundations
What is the purpose of the Claude Code,"To configure agent behavior with a hierarchy, rules, commands, skills, and various execution modes.",foundations
What does the Claude Code CLI allow you to do,"Use flags for non-interactive mode, output format, and structured CI output.",foundations
What is the function of the Message Batches API,"Provides cost savings, a processing window, request/response correlation, and polling for completion.",foundations
What is JSON Schema used for,"Defining required vs optional fields, enum types, nullable fields, and strict mode for syntax error elimination.",foundations
What is Pydantic used for,Schema validation and handling semantic validation errors.,foundations
What built-in tools are available,"Read, Write, Edit, Bash, Grep, Glob, each with specific purposes and selection criteria.",foundations
What is few-shot prompting,Providing targeted examples for ambiguous scenarios to demonstrate format and generalization.,foundations
What does prompt chaining involve,Decomposing tasks into focused sequential passes. 13 / 14,foundations
What is context window management,"Managing token budgets, summarization, context extraction, and scratchpad files.",foundations
What is session management,"Handling session resumption, named sessions, and context isolation.",foundations
What is confidence scoring,Field-level confidence assessment and calibration with labeled validation sets.,foundations
What are the key topics tested on the exam,"Agentic loop implementation, multi-agent orchestration, subagent context management, tool interface design, and error handling.",foundations
What topics are out-of-scope for the exam,"Fine-tuning models, API authentication, specific programming languages, and cloud provider configurations.",foundations
What are the recommendations for exam preparation,"Build an agent, configure Claude Code, design MCP tools, extract structured data, practice prompt engineering, study context management, and review escalation patterns. 14 / 14",foundations
