question,a,b,c,d,correct,explanation
What does the candidate need to demonstrate in the exam,It allows continuation of a specific prior conversation.,Both conceptual knowledge and practical judgment about architecture - configuration and trade-offs.,It preserves attribution when passing context between agents.,To control which tools an agent can access and ensure appropriate tool selection.,b,Both conceptual knowledge and practical judgment about architecture - configuration and trade-offs.
What is the agentic loop lifecycle,Sending requests to Claude - inspecting stop_reason - executing requested tools and returning results for the next iteration.,To provide cost savings for processing workloads that are non-blocking and latency-tolerant.,They preserve and merge findings while maintaining source attribution.,Transient errors - validation errors - business errors and permission errors.,a,Sending requests to Claude - inspecting stop_reason - executing requested tools and returning results for the next iteration.
What distinguishes model-driven decision-making from pre-configured decision trees,It ensures machine-parseable structured findings for automated posting.,Model-driven decision-making involves Claude reasoning about which tool to call next based on context.,Subagents do not automatically inherit parent context or share memory between invocations.,Agentic loop implementation - multi-agent orchestration - subagent context management - tool interface design and error handling.,b,Model-driven decision-making involves Claude reasoning about which tool to call next based on context.
What is the hub-and-spoke architecture in multi-agent systems,A JSON schema containing required and optional fields - an enum with an 'other' + detail string pattern and nullable fields.,It checks stop_reason to determine whether to continue tool execution or present the final response.,To control which tools an agent can access and ensure appropriate tool selection.,A structure where a coordinator agent manages all inter-subagent communication - error handling and information routing.,d,A structure where a coordinator agent manages all inter-subagent communication - error handling and information routing.
How do subagents operate in relation to the coordinator's context,A project-level CLAUDE.md with universal coding standards and testing conventions.,They preserve original source characterizations and methodological context during synthesis.,Subagents operate with isolated context and do not inherit the coordinator's conversation history automatically.,To prompt developers for required parameters when invoking the skill without arguments.,c,Subagents operate with isolated context and do not inherit the coordinator's conversation history automatically.
What is the role of the coordinator in task decomposition,They preserve original source characterizations and methodological context during synthesis.,To resolve transient failures before propagating errors to the coordinator.,The coordinator is responsible for task decomposition - delegation - result aggregation and deciding which subagents to invoke based on query complexity.,It enables intelligent coordinator recovery decisions.,c,The coordinator is responsible for task decomposition - delegation - result aggregation and deciding which subagents to invoke based on query complexity.
What are anti-patterns to avoid in agentic loop control flow,Parsing natural language signals for loop termination - setting arbitrary iteration caps or checking for assistant text content as a completion indicator.,Create rule files in .claude/rules/ with YAML frontmatter specifying glob patterns to conditionally apply conventions based on file paths.,They intercept tool results for transformation before the model processes them.,It degrades tool selection reliability by increasing decision complexity.,a,Parsing natural language signals for loop termination - setting arbitrary iteration caps or checking for assistant text content as a completion indicator.
What is the Task tool in subagent invocation,To provide essential information when escalating to human agents.,The mechanism for spawning subagents - requiring allowedTools to include 'Task' for a coordinator to invoke subagents.,They preserve original source characterizations and methodological context during synthesis.,It prevents temporal differences from being misinterpreted as contradictions.,b,The mechanism for spawning subagents - requiring allowedTools to include 'Task' for a coordinator to invoke subagents.
Why is it important to provide subagent context explicitly in the prompt,To provide essential information when escalating to human agents.,Give the synthesis agent a scoped verify_fact tool for simple lookups - while complex verifications continue delegating to the web search agent through the coordinator.,Subagents do not automatically inherit parent context or share memory between invocations.,It offers cost savings and is suitable for non-blocking - latency-tolerant workloads.,c,Subagents do not automatically inherit parent context or share memory between invocations.
What is the difference between programmatic enforcement and prompt-based guidance,Programmatic enforcement uses hooks and prerequisite gates - while prompt-based guidance relies on instructions for workflow ordering.,They preserve and merge findings while maintaining source attribution.,It checks stop_reason to determine whether to continue tool execution or present the final response.,To run Claude Code in non-interactive mode - preventing interactive input hangs.,a,Programmatic enforcement uses hooks and prerequisite gates - while prompt-based guidance relies on instructions for workflow ordering.
What are structured handoff protocols,Protocols for mid-process escalation that include customer details - root cause analysis and recommended actions.,To verify which memory files are loaded and diagnose inconsistent behavior.,It improves precision and reduces false positives.,The coordinator agent's task decomposition is too narrow - resulting in subagent assignments that don't cover all relevant domains of the topic.,a,Protocols for mid-process escalation that include customer details - root cause analysis and recommended actions.
What is the significance of the MCP isError flag,It communicates tool failures back to the agent.,They guarantee schema-compliant structured output - eliminating syntax errors.,It degrades tool selection reliability by increasing decision complexity.,It creates independent branches from a shared analysis baseline.,a,It communicates tool failures back to the agent.
What are the types of errors distinguished in MCP,They help achieve consistently formatted - actionable output and demonstrate ambiguous-case handling.,To extract information from unstructured documents and validate the output using JSON schemas.,Transient errors - validation errors - business errors and permission errors.,Subagents do not automatically inherit parent context or share memory between invocations.,c,Transient errors - validation errors - business errors and permission errors.
What is scoped tool access in agent design,It offers cost savings and is suitable for non-blocking - latency-tolerant workloads.,They are the primary mechanism LLMs use for tool selection; minimal descriptions lead to unreliable selection.,Agent definitions - agentic loops - stop_reason handling - hooks - subagent spawning and allowedTools configuration.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,d,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.
What is the importance of tool descriptions for LLMs,Agent definitions - agentic loops - stop_reason handling - hooks - subagent spawning and allowedTools configuration.,To handle validation failures by sending follow-up requests including the document and specific validation error.,To apply conventions to files by type regardless of directory location.,They are the primary mechanism LLMs use for tool selection; minimal descriptions lead to unreliable selection.,d,They are the primary mechanism LLMs use for tool selection; minimal descriptions lead to unreliable selection.
What is the role of few-shot examples in prompt engineering,Parsing natural language signals for loop termination - setting arbitrary iteration caps or checking for assistant text content as a completion indicator.,YAML frontmatter glob patterns for different code areas.,They help achieve consistently formatted - actionable output and demonstrate ambiguous-case handling.,A structure where a coordinator agent manages all inter-subagent communication - error handling and information routing.,c,They help achieve consistently formatted - actionable output and demonstrate ambiguous-case handling.
What is the purpose of structured error responses,Managing token budgets - summarization - context extraction and scratchpad files.,Expand each tool's description to include input formats it handles - example queries - edge cases and boundaries explaining when to use it versus similar tools.,To provide detailed error context that enables intelligent recovery decisions by the agent.,To compile customer ID - root cause - refund amount and recommended action when escalating to human agents.,c,To provide detailed error context that enables intelligent recovery decisions by the agent.
What is the benefit of using batch processing strategies,To configure agent behavior with a hierarchy - rules - commands - skills and various execution modes.,Expand each tool's description to include input formats it handles - example queries - edge cases and boundaries explaining when to use it versus similar tools.,It offers cost savings and is suitable for non-blocking - latency-tolerant workloads.,Add a programmatic prerequisite that blocks lookup_order and process_refund calls until get_customer has returned a verified customer ID.,c,It offers cost savings and is suitable for non-blocking - latency-tolerant workloads.
What is the significance of context management in long interactions,Provides cost savings - a processing window - request/response correlation and polling for completion.,It is the mechanism for spawning subagents.,The mechanism for spawning subagents - requiring allowedTools to include 'Task' for a coordinator to invoke subagents.,To preserve critical information and mitigate the 'lost in the middle' effect.,d,To preserve critical information and mitigate the 'lost in the middle' effect.
What are escalation triggers in customer interactions,To compile customer ID - root cause - refund amount and recommended action when escalating to human agents.,Customer requests for a human - policy exceptions and inability to make meaningful progress.,Transient errors - validation errors - business errors and permission errors.,It degrades tool selection reliability by increasing decision complexity.,b,Customer requests for a human - policy exceptions and inability to make meaningful progress.
What is the importance of preserving information provenance in synthesis,To maintain structured claim-source mappings and handle conflicting statistics appropriately.,It communicates tool failures back to the agent.,Agentic loop implementation - multi-agent orchestration - subagent context management - tool interface design and error handling.,To facilitate the invocation of subagents.,a,To maintain structured claim-source mappings and handle conflicting statistics appropriately.
What is the role of the Explore subagent,They are scored as incorrect.,To isolate verbose discovery output and return summaries to preserve main conversation context.,Add explicit escalation criteria to your system prompt with few-shot examples demonstrating when to escalate versus resolve autonomously.,They may mask poor performance on specific document types or fields.,b,To isolate verbose discovery output and return summaries to preserve main conversation context.
What is the difference between session resumption and starting fresh with summaries,They load only when editing matching files - reducing irrelevant context and token usage.,Session resumption continues a specific prior conversation - while starting fresh uses a structured summary for reliability.,They guide the model toward correction by appending specific validation errors.,Create rule files in .claude/rules/ with YAML frontmatter specifying glob patterns to conditionally apply conventions based on file paths.,b,Session resumption continues a specific prior conversation - while starting fresh uses a structured summary for reliability.
What are the advantages of path-specific rules in .claude/rules/,They load only when editing matching files - reducing irrelevant context and token usage.,They ensure that critical information is communicated during escalations.,To apply conventions to files by type regardless of directory location.,It checks stop_reason to determine whether to continue tool execution or present the final response.,a,They load only when editing matching files - reducing irrelevant context and token usage.
What is the purpose of the Message Batches API,Subagents do not automatically inherit parent context or share memory between invocations.,Add a programmatic prerequisite that blocks lookup_order and process_refund calls until get_customer has returned a verified customer ID.,To provide cost savings for processing workloads that are non-blocking and latency-tolerant.,To separate content from metadata when passing context between agents.,c,To provide cost savings for processing workloads that are non-blocking and latency-tolerant.
What is the significance of structured claim-source mappings,They preserve original source characterizations and methodological context during synthesis.,A structure where a coordinator agent manages all inter-subagent communication - error handling and information routing.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,It allows continuation of a specific prior conversation.,a,They preserve original source characterizations and methodological context during synthesis.
What is the importance of defining explicit review criteria,Give the synthesis agent a scoped verify_fact tool for simple lookups - while complex verifications continue delegating to the web search agent through the coordinator.,To improve precision and reduce false positives in code reviews.,To manage inter-subagent communication - error handling and information routing.,Decomposing tasks into focused sequential passes.,b,To improve precision and reduce false positives in code reviews.
What is the role of the -p flag in CI/CD pipelines,Read - Write - Edit - Bash - Grep - Glob - each with specific purposes and selection criteria.,They are incorrect response options that candidates with incomplete knowledge might choose.,To maintain structured claim-source mappings and handle conflicting statistics appropriately.,To run Claude Code in non-interactive mode - preventing interactive input hangs.,d,To run Claude Code in non-interactive mode - preventing interactive input hangs.
What is the purpose of implementing validation - retry and feedback loops,Schema validation and handling semantic validation errors.,Handling session resumption - named sessions and context isolation.,To ensure new team members receive the correct instructions.,To improve extraction quality and guide the model toward correction.,d,To improve extraction quality and guide the model toward correction.
What are the risks of aggregate accuracy metrics,High false positive categories undermine confidence in accurate categories.,Give the synthesis agent a scoped verify_fact tool for simple lookups - while complex verifications continue delegating to the web search agent through the coordinator.,To provide detailed error context that enables intelligent recovery decisions by the agent.,They may mask poor performance on specific document types or fields.,d,They may mask poor performance on specific document types or fields.
What is the role of scratchpad files in context management,To persist key findings across context boundaries during extended sessions.,Practice orchestrating subagents - managing context passing - implementing error propagation and handling synthesis with provenance tracking.,It improves precision and reduces false positives.,They preserve original source characterizations and methodological context.,a,To persist key findings across context boundaries during extended sessions.
What is the significance of structured handoff summaries,To compile customer ID - root cause - refund amount and recommended action when escalating to human agents.,To run automated code reviews - generate test cases and provide feedback on pull requests.,Building a system where a coordinator agent delegates tasks to specialized subagents for research.,A structure where a coordinator agent manages all inter-subagent communication - error handling and information routing.,a,To compile customer ID - root cause - refund amount and recommended action when escalating to human agents.
What is the importance of using argument-hint frontmatter in skills,To prompt developers for required parameters when invoking the skill without arguments.,The coordinator is responsible for task decomposition - delegation - result aggregation and deciding which subagents to invoke based on query complexity.,Create rule files in .claude/rules/ with YAML frontmatter specifying glob patterns to conditionally apply conventions based on file paths.,Subagents do not automatically inherit parent context or share memory between invocations.,a,To prompt developers for required parameters when invoking the skill without arguments.
What is the benefit of using few-shot prompting in extraction tasks,Transient errors - validation errors - business errors and permission errors.,Read - Write - Edit - Bash - Grep - Glob - each with specific purposes and selection criteria.,It reduces hallucination and improves output consistency.,Add a programmatic prerequisite that blocks lookup_order and process_refund calls until get_customer has returned a verified customer ID.,c,It reduces hallucination and improves output consistency.
What is the significance of the --output-format json flag,It prompts developers for required parameters when invoking the skill.,To provide detailed error context that enables intelligent recovery decisions by the agent.,It enforces structured output in CI contexts.,It decides which subagents to invoke based on query complexity.,c,It enforces structured output in CI contexts.
What is the role of the coordinator in multi-agent systems,Read - Write - Edit - Bash - Grep - Glob - each with specific purposes and selection criteria.,It includes weightings - content domains and task statements for the exam.,To separate content from metadata when passing context between agents.,To manage inter-subagent communication - error handling and information routing.,d,To manage inter-subagent communication - error handling and information routing.
What is the impact of false positive rates on developer trust,To compile customer ID - root cause - refund amount and recommended action when escalating to human agents.,To maintain structured claim-source mappings and handle conflicting statistics appropriately.,High false positive categories undermine confidence in accurate categories.,The coordinator agent's task decomposition is too narrow - resulting in subagent assignments that don't cover all relevant domains of the topic.,c,High false positive categories undermine confidence in accurate categories.
What is the importance of validating accuracy by document type,To ensure consistent performance across all segments before reducing human review.,They present realistic production contexts that frame a set of questions.,To manage inter-subagent communication - error handling and information routing.,3-4 MCP tools with detailed descriptions that clearly differentiate each tool's purpose - expected inputs and boundary conditions.,a,To ensure consistent performance across all segments before reducing human review.
What is the significance of using structured data formats in agent communication,To separate content from metadata when passing context between agents.,Customer requests for a human - policy exceptions and inability to make meaningful progress.,To compile customer ID - root cause - refund amount and recommended action when escalating to human agents.,To isolate verbose discovery output and return summaries to preserve main conversation context.,a,To separate content from metadata when passing context between agents.
What is the purpose of using tool_choice configuration options,To control which tools an agent can access and ensure appropriate tool selection.,Defining required vs optional fields - enum types - nullable fields and strict mode for syntax error elimination.,Customer requests for a human - policy exceptions and inability to make meaningful progress.,Subagents do not automatically inherit parent context or share memory between invocations.,a,To control which tools an agent can access and ensure appropriate tool selection.
What is a key skill in orchestrating multi-agent systems,The mechanism for spawning subagents - requiring allowedTools to include 'Task' for a coordinator to invoke subagents.,Structured error responses including errorCategory - isRetryable boolean and human-readable descriptions.,Designing coordinator agents that analyze query requirements and dynamically select which subagents to invoke.,They may mask poor performance on specific document types or fields.,c,Designing coordinator agents that analyze query requirements and dynamically select which subagents to invoke.
What is the Task tool used for,Practice designing an agentic loop with tool integration - structured error handling and escalation patterns.,Session resumption continues a specific prior conversation - while starting fresh uses a structured summary for reliability.,It is the mechanism for spawning subagents.,They preserve original source characterizations and methodological context during synthesis.,c,It is the mechanism for spawning subagents.
Why must subagent context be explicitly provided in the prompt,To ensure consistent performance across all segments before reducing human review.,Each finding should include a claim - evidence excerpt - source URL/document name and publication date.,It prompts developers for required parameters when invoking the skill.,Subagents do not automatically inherit parent context or share memory between invocations.,d,Subagents do not automatically inherit parent context or share memory between invocations.
What is the importance of structured handoff protocols,They include customer details - root cause analysis and recommended actions for mid-process escalation.,To run Claude Code in non-interactive mode - preventing interactive input hangs.,It prompts developers for required parameters when invoking the skill.,It prevents temporal differences from being misinterpreted as contradictions.,a,They include customer details - root cause analysis and recommended actions for mid-process escalation.
What is the purpose of PostToolUse hooks,To improve precision and reduce false positives in code reviews.,Build an agent - configure Claude Code - design MCP tools - extract structured data - practice prompt engineering - study context management and review escalation patterns.,To improve extraction quality and guide the model toward correction.,They intercept tool results for transformation before the model processes them.,d,They intercept tool results for transformation before the model processes them.
What is the significance of the MCP isError flag pattern,They present realistic production contexts that frame a set of questions.,It communicates tool failures back to the agent.,To organize topic-specific rule files as an alternative to a monolithic CLAUDE.md.,It enforces structured output in CI contexts.,b,It communicates tool failures back to the agent.
What are the risks of giving an agent access to too many tools,Building a system where a coordinator agent delegates tasks to specialized subagents for research.,Delegate to at least two subagents and ensure each subagent receives its research findings directly in its prompt.,It enforces structured output in CI contexts.,It degrades tool selection reliability by increasing decision complexity.,d,It degrades tool selection reliability by increasing decision complexity.
What is the principle of scoped tool access,They include customer details - root cause analysis and recommended actions for mid-process escalation.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,MCP servers - tools - resources - isError flag - tool descriptions - tool distribution and .mcp.json configuration.,To compile customer ID - root cause - refund amount and recommended action when escalating to human agents.,b,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.
What is the Message Batches API used for,Expand each tool's description to include input formats it handles - example queries - edge cases and boundaries explaining when to use it versus similar tools.,It provides cost savings and is suitable for non-blocking - latency-tolerant workloads.,Both conceptual knowledge and practical judgment about architecture - configuration and trade-offs.,Sending requests to Claude - inspecting stop_reason - executing requested tools and returning results for the next iteration.,b,It provides cost savings and is suitable for non-blocking - latency-tolerant workloads.
What is the advantage of using path-scoped rules in .claude/rules/ files,They load only when editing matching files - reducing irrelevant context and token usage.,Parsing natural language signals for loop termination - setting arbitrary iteration caps or checking for assistant text content as a completion indicator.,They may mask poor performance on specific document types or fields.,It preserves attribution when passing context between agents.,a,They load only when editing matching files - reducing irrelevant context and token usage.
What is the purpose of few-shot examples in prompt engineering,It provides cost savings and is suitable for non-blocking - latency-tolerant workloads.,They load only when editing matching files - reducing irrelevant context and token usage.,They help achieve consistently formatted - actionable output.,To manage inter-subagent communication - error handling and information routing.,c,They help achieve consistently formatted - actionable output.
What is the role of structured claim-source mappings in synthesis,Delegate to at least two subagents and ensure each subagent receives its research findings directly in its prompt.,Use flags for non-interactive mode - output format and structured CI output.,Each finding should include a claim - evidence excerpt - source URL/document name and publication date.,They preserve and merge findings while maintaining source attribution.,d,They preserve and merge findings while maintaining source attribution.
What is the importance of preserving information provenance,It prompts developers for required parameters when invoking the skill.,It prevents the loss of source attribution during summarization steps.,It communicates tool failures back to the agent.,Enter plan mode to explore the codebase - understand dependencies and design an implementation approach before making changes.,b,It prevents the loss of source attribution during summarization steps.
What is the significance of temporal data in structured outputs,3-4 MCP tools with detailed descriptions that clearly differentiate each tool's purpose - expected inputs and boundary conditions.,It prevents temporal differences from being misinterpreted as contradictions.,Delegate to at least two subagents and ensure each subagent receives its research findings directly in its prompt.,It enforces structured output in CI contexts.,b,It prevents temporal differences from being misinterpreted as contradictions.
What is the difference between direct execution and plan mode,They may mask poor performance on specific document types or fields.,Direct execution is for simple changes - while plan mode is for complex tasks involving large-scale changes.,Both conceptual knowledge and practical judgment about architecture - configuration and trade-offs.,The coordinator is responsible for task decomposition - delegation - result aggregation and deciding which subagents to invoke based on query complexity.,b,Direct execution is for simple changes - while plan mode is for complex tasks involving large-scale changes.
What is the importance of structured error context in multi-agent systems,It enables intelligent coordinator recovery decisions.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,It decides which subagents to invoke based on query complexity.,It prevents the loss of source attribution during summarization steps.,a,It enables intelligent coordinator recovery decisions.
What is the significance of using structured data formats in context passing,A project-level CLAUDE.md with universal coding standards and testing conventions.,They intercept tool results for transformation before the model processes them.,Each finding should include a claim - evidence excerpt - source URL/document name and publication date.,It preserves attribution when passing context between agents.,d,It preserves attribution when passing context between agents.
What is the importance of explicit criteria in prompt design,It checks stop_reason to determine whether to continue tool execution or present the final response.,To prompt developers for required parameters when invoking the skill without arguments.,It improves precision and reduces false positives.,To compile customer ID - root cause - refund amount and recommended action when escalating to human agents.,c,It improves precision and reduces false positives.
What is the benefit of using few-shot examples for ambiguous-case handling,It oversees session resumption - forking and ensures context is maintained.,A structure where a coordinator agent manages all inter-subagent communication - error handling and information routing.,They demonstrate reasoning for why one action was chosen over plausible alternatives.,They preserve and merge findings while maintaining source attribution.,c,They demonstrate reasoning for why one action was chosen over plausible alternatives.
What is the role of the coordinator in managing session state,It oversees session resumption - forking and ensures context is maintained.,Create rule files in .claude/rules/ with YAML frontmatter specifying glob patterns to conditionally apply conventions based on file paths.,A project-level CLAUDE.md with universal coding standards and testing conventions.,It helps the agent make appropriate recovery decisions.,a,It oversees session resumption - forking and ensures context is maintained.
What is the purpose of structured handoff summaries,To provide essential information when escalating to human agents.,Built-in tools like Read - Write - Bash - Grep - Glob.,Agent definitions - agentic loops - stop_reason handling - hooks - subagent spawning and allowedTools configuration.,Subagents do not automatically inherit parent context or share memory between invocations.,a,To provide essential information when escalating to human agents.
What is the significance of using the --resume flag,Field-level confidence assessment and calibration with labeled validation sets.,It allows continuation of a specific prior conversation.,They guide the agent on when to escalate versus resolve autonomously.,A structure where a coordinator agent manages all inter-subagent communication - error handling and information routing.,b,It allows continuation of a specific prior conversation.
What is the importance of diagnosing configuration hierarchy issues,To ensure new team members receive the correct instructions.,YAML frontmatter glob patterns for different code areas.,It communicates tool failures back to the agent.,It preserves attribution when passing context between agents.,a,To ensure new team members receive the correct instructions.
What is the role of the /memory command,To improve precision and reduce false positives in code reviews.,To improve extraction quality and guide the model toward correction.,Subagents do not automatically inherit parent context or share memory between invocations.,To verify which memory files are loaded and diagnose inconsistent behavior.,d,To verify which memory files are loaded and diagnose inconsistent behavior.
What is the purpose of implementing local error recovery,It prompts developers for required parameters when invoking the skill.,Built-in tools like Read - Write - Bash - Grep - Glob.,To manage inter-subagent communication - error handling and information routing.,To resolve transient failures before propagating errors to the coordinator.,d,To resolve transient failures before propagating errors to the coordinator.
What is the significance of using structured output in CI/CD pipelines,It provides cost savings and is suitable for non-blocking - latency-tolerant workloads.,The coordinator is responsible for task decomposition - delegation - result aggregation and deciding which subagents to invoke based on query complexity.,It ensures machine-parseable structured findings for automated posting.,The mechanism for spawning subagents - requiring allowedTools to include 'Task' for a coordinator to invoke subagents.,c,It ensures machine-parseable structured findings for automated posting.
What is the benefit of using argument-hint frontmatter in skills,It prompts developers for required parameters when invoking the skill.,It allows continuation of a specific prior conversation.,A JSON schema containing required and optional fields - an enum with an 'other' + detail string pattern and nullable fields.,They intercept tool results for transformation before the model processes them.,a,It prompts developers for required parameters when invoking the skill.
What is the role of the .claude/rules/ directory,To run Claude Code in non-interactive mode - preventing interactive input hangs.,The mechanism for spawning subagents - requiring allowedTools to include 'Task' for a coordinator to invoke subagents.,To organize topic-specific rule files as an alternative to a monolithic CLAUDE.md.,MCP servers - tools - resources - isError flag - tool descriptions - tool distribution and .mcp.json configuration.,c,To organize topic-specific rule files as an alternative to a monolithic CLAUDE.md.
What is the purpose of using glob patterns in path-specific rules,They preserve original source characterizations and methodological context during synthesis.,They guide the model toward correction by appending specific validation errors.,Give the synthesis agent a scoped verify_fact tool for simple lookups - while complex verifications continue delegating to the web search agent through the coordinator.,To apply conventions to files by type regardless of directory location.,d,To apply conventions to files by type regardless of directory location.
What is the significance of structured handoff protocols,They ensure that critical information is communicated during escalations.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,They preserve original source characterizations and methodological context.,To prompt developers for required parameters when invoking the skill without arguments.,a,They ensure that critical information is communicated during escalations.
What is the importance of using structured error metadata,Accelerating software development through code generation - refactoring - debugging and documentation.,It helps the agent make appropriate recovery decisions.,It allows continuation of a specific prior conversation.,They intercept tool results for transformation before the model processes them.,b,It helps the agent make appropriate recovery decisions.
What is the role of the coordinator in task aggregation,Delegate to at least two subagents and ensure each subagent receives its research findings directly in its prompt.,Return structured error context to the coordinator including the failure type - the attempted query - any partial results and potential alternative approaches.,It creates independent branches from a shared analysis baseline.,It decides which subagents to invoke based on query complexity.,d,It decides which subagents to invoke based on query complexity.
What is the purpose of the Task tool in agent orchestration,They preserve and merge findings while maintaining source attribution.,Protocols for mid-process escalation that include customer details - root cause analysis and recommended actions.,Programmatic enforcement uses hooks and prerequisite gates - while prompt-based guidance relies on instructions for workflow ordering.,To facilitate the invocation of subagents.,d,To facilitate the invocation of subagents.
What is the significance of using the fork_session command,The coordinator is responsible for task decomposition - delegation - result aggregation and deciding which subagents to invoke based on query complexity.,Agent definitions - agentic loops - stop_reason handling - hooks - subagent spawning and allowedTools configuration.,Schema validation and handling semantic validation errors.,It creates independent branches from a shared analysis baseline.,d,It creates independent branches from a shared analysis baseline.
What is the importance of structured output schemas,Add explicit escalation criteria to your system prompt with few-shot examples demonstrating when to escalate versus resolve autonomously.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,They guarantee schema-compliant structured output - eliminating syntax errors.,A project-level CLAUDE.md with universal coding standards and testing conventions.,c,They guarantee schema-compliant structured output - eliminating syntax errors.
What is the role of few-shot prompting in improving output quality,Decomposing tasks into focused sequential passes.,Sending requests to Claude - inspecting stop_reason - executing requested tools and returning results for the next iteration.,They may mask poor performance on specific document types or fields.,It provides examples that help the model generalize judgment to novel patterns.,d,It provides examples that help the model generalize judgment to novel patterns.
What is the benefit of using structured claim-source mappings in synthesis,It includes weightings - content domains and task statements for the exam.,They preserve original source characterizations and methodological context.,To extract information from unstructured documents and validate the output using JSON schemas.,Add a programmatic prerequisite that blocks lookup_order and process_refund calls until get_customer has returned a verified customer ID.,b,They preserve original source characterizations and methodological context.
What is the significance of implementing feedback loops for extraction quality,It prevents temporal differences from being misinterpreted as contradictions.,3-4 MCP tools with detailed descriptions that clearly differentiate each tool's purpose - expected inputs and boundary conditions.,They guide the model toward correction by appending specific validation errors.,It includes weightings - content domains and task statements for the exam.,c,They guide the model toward correction by appending specific validation errors.
What is the role of the Message Batches API,It allows for cost-effective processing of non-blocking workloads.,To configure agent behavior with a hierarchy - rules - commands - skills and various execution modes.,To improve precision and reduce false positives in code reviews.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,a,It allows for cost-effective processing of non-blocking workloads.
