question,a,b,c,d,correct,explanation
How should context be passed to subagents,Context must be explicitly provided in the prompt. Include complete findings from prior agents directly in the subagent's prompt.,Reducing context usage during extended exploration sessions when context fills with verbose discovery output.,When the required information is simply absent from the source document (vs format or structural errors).,The model has finished its response and no more tool calls are needed. The loop should terminate.,a,Context must be explicitly provided in the prompt. Include complete findings from prior agents directly in the subagent's prompt.
What format should be used when passing context between agents,A pattern that breaks reviews or tasks into sequential steps (e.g. analyze each file individually - then run a cross-file integration pass).,Structured data formats that separate content from metadata (source URLs - document names - page numbers) to preserve attribution.,97% overall accuracy may mask poor performance on specific document types or fields.,Files with YAML frontmatter paths fields containing glob patterns activate rules only when editing matching files.,b,Structured data formats that separate content from metadata (source URLs - document names - page numbers) to preserve attribution.
How can parallel subagents be spawned,Claude reasons about which tool to call next based on context as opposed to pre-configured decision trees or fixed tool sequences.,Access failures need retry decisions; valid empty results represent successful queries with no matches and require no retry.,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,Creating independent branches from a shared analysis baseline to explore divergent approaches.,c,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.
What is fork_session used for,When prior tool results are stale - starting fresh with injected summaries is more reliable than resuming with outdated information.,Creating independent branches from a shared analysis baseline to explore divergent approaches.,Use existing community MCP servers for standard integrations (e.g. Jira); reserve custom servers for team-specific workflows.,A Claude feature for more thorough reasoning (less effective at catching issues than independent review instances).,b,Creating independent branches from a shared analysis baseline to explore divergent approaches.
What is the difference between programmatic enforcement and prompt-based guidance,Programmatic enforcement (hooks - prerequisite gates) provides deterministic compliance. Prompt-based guidance has a non-zero failure rate and is probabilistic.,Restricts tool access during skill execution (e.g. limiting to file write operations to prevent destructive actions).,The central agent in a hub-and-spoke architecture that manages task decomposition - delegation and result aggregation.,Using environment variable expansion (e.g. ${GITHUB_TOKEN}) to avoid committing secrets.,a,Programmatic enforcement (hooks - prerequisite gates) provides deterministic compliance. Prompt-based guidance has a non-zero failure rate and is probabilistic.
When is programmatic enforcement required over prompt instructions,Tool results should be appended to the conversation history so the model can reason about the next action based on new information.,Returning empty results as success prevents recovery and risks incomplete outputs; the coordinator needs to know about failures.,When deterministic compliance is required - such as identity verification before financial operations where errors have consequences.,No. Honor explicit customer requests for human agents immediately without first attempting investigation.,c,When deterministic compliance is required - such as identity verification before financial operations where errors have consequences.
What should a structured handoff summary include,Start with Grep to find entry points - then use Read to follow imports and trace flows - rather than reading all files upfront.,Block policy-violating actions (e.g. refunds exceeding $500) and redirect to alternative workflows like human escalation.,Customer ID - root cause analysis - refund amount (if applicable) and recommended actions for human agents.,Programmatic interception points (e.g. PostToolUse) that transform data or enforce rules before/after tool execution.,c,Customer ID - root cause analysis - refund amount (if applicable) and recommended actions for human agents.
What is a PostToolUse hook,A hook pattern that intercepts tool results for transformation before the model processes them (e.g. normalizing data formats).,Access failures need retry decisions; valid empty results represent successful queries with no matches and require no retry.,File path pattern matching - finding files by name or extension patterns (e.g. **/*.test.tsx).,Anthropic's SDK for building agentic applications including multi-agent orchestration - subagent delegation - tool integration and lifecycle hooks.,a,A hook pattern that intercepts tool results for transformation before the model processes them (e.g. normalizing data formats).
What can tool call interception hooks do,Failure type - attempted query - partial results and potential alternative approaches.,Using structured agent state exports (manifests) that the coordinator loads on resume and injects into agent prompts.,Block policy-violating actions (e.g. refunds exceeding $500) and redirect to alternative workflows like human escalation.,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,c,Block policy-violating actions (e.g. refunds exceeding $500) and redirect to alternative workflows like human escalation.
When should hooks be used over prompt-based enforcement,Place key findings summaries at the beginning of aggregated inputs and organize detailed results with explicit section headers.,In .claude/commands/ directory (shared via version control).,When business rules require guaranteed compliance - as hooks provide deterministic guarantees.,Start with Grep to find entry points - then use Read to follow imports and trace flows - rather than reading all files upfront.,c,When business rules require guaranteed compliance - as hooks provide deterministic guarantees.
What is prompt chaining,Adding enum values like 'other' with an accompanying detail field for extensible categorization when predefined categories don't fit.,To enable correct temporal interpretation and prevent temporal differences from being misinterpreted as contradictions.,A pattern that breaks reviews or tasks into sequential steps (e.g. analyze each file individually - then run a cross-file integration pass).,No. They eliminate syntax errors but don't prevent semantic issues like line items not summing to total or values in wrong fields.,c,A pattern that breaks reviews or tasks into sequential steps (e.g. analyze each file individually - then run a cross-file integration pass).
When should dynamic adaptive decomposition be used vs fixed sequential pipelines,No. They eliminate syntax errors but don't prevent semantic issues like line items not summing to total or values in wrong fields.,Models reliably process information at the beginning and end of long inputs but may omit findings from middle sections.,Condensing numerical values - percentages - dates and customer-stated expectations into vague summaries that lose critical details.,Use prompt chaining for predictable multi-aspect reviews; use dynamic decomposition for open-ended investigation tasks based on intermediate findings.,d,Use prompt chaining for predictable multi-aspect reviews; use dynamic decomposition for open-ended investigation tasks based on intermediate findings.
How should large code reviews be split,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,Using structured agent state exports (manifests) that the coordinator loads on resume and injects into agent prompts.,Provide all issues together when they interact; fix them sequentially when they are independent problems.,Into per-file local analysis passes plus a separate cross-file integration pass to avoid attention dilution.,d,Into per-file local analysis passes plus a separate cross-file integration pass to avoid attention dilution.
What is the --resume flag used for,Exposing content catalogs (issue summaries - documentation hierarchies - database schemas) to reduce exploratory tool calls.,Continuing a specific prior conversation using named session resumption: --resume <session-name>.,Skills are on-demand invocation for task-specific workflows; CLAUDE.md provides always-loaded universal standards.,A Claude feature for more thorough reasoning (less effective at catching issues than independent review instances).,b,Continuing a specific prior conversation using named session resumption: --resume <session-name>.
When is starting a new session with a summary better than resuming,When prior tool results are stale - starting fresh with injected summaries is more reliable than resuming with outdated information.,Extract amounts - dates - order numbers and statuses into a persistent 'case facts' block included in each prompt outside summarized history.,In .claude/commands/ directory (shared via version control).,Testing standards - valuable test criteria and available fixtures to improve quality and reduce low-value test output.,a,When prior tool results are stale - starting fresh with injected summaries is more reliable than resuming with outdated information.
What is the Explore subagent used for,The model wants to call a tool. The loop should continue by executing the requested tool and returning results.,Running Claude Code in non-interactive mode in automated pipelines - preventing interactive input hangs.,Isolating verbose discovery output and returning summaries to preserve main conversation context during multi-phase tasks.,Using structured agent state exports (manifests) that the coordinator loads on resume and injects into agent prompts.,c,Isolating verbose discovery output and returning summaries to preserve main conversation context during multi-phase tasks.
What is the primary mechanism LLMs use for tool selection,Continuing a specific prior conversation using named session resumption: --resume <session-name>.,Using structured agent state exports (manifests) that the coordinator loads on resume and injects into agent prompts.,Tool descriptions. Minimal descriptions lead to unreliable selection among similar tools.,In .claude/commands/ directory (shared via version control).,c,Tool descriptions. Minimal descriptions lead to unreliable selection among similar tools.
What should tool descriptions include,Input formats - example queries - edge cases and boundary explanations clarifying when to use it versus similar alternatives.,Forces the model to call a specific named tool: {'type': 'tool' - 'name': 'tool_name'}.,Task decomposition - delegation to subagents - result aggregation and deciding which subagents to invoke based on query complexity.,Measuring error rates in high-confidence extractions and detecting novel error patterns.,a,Input formats - example queries - edge cases and boundary explanations clarifying when to use it versus similar alternatives.
What causes tool misrouting in multi-tool systems,High false positive rates in some categories undermine confidence in accurate categories - reducing overall trust.,Ambiguous or overlapping tool descriptions (e.g. analyze_content vs analyze_document with near-identical descriptions).,Context must be explicitly provided in the prompt. Include complete findings from prior agents directly in the subagent's prompt.,Start with Grep to find entry points - then use Read to follow imports and trace flows - rather than reading all files upfront.,b,Ambiguous or overlapping tool descriptions (e.g. analyze_content vs analyze_document with near-identical descriptions).
How should similar tools be differentiated,Tracking which code constructs trigger findings to enable systematic analysis of dismissal patterns for feedback loops.,Reducing context usage during extended exploration sessions when context fills with verbose discovery output.,Rename tools and update descriptions to eliminate functional overlap - or split generic tools into purpose-specific tools with defined input/output contracts.,Extract amounts - dates - order numbers and statuses into a persistent 'case facts' block included in each prompt outside summarized history.,c,Rename tools and update descriptions to eliminate functional overlap - or split generic tools into purpose-specific tools with defined input/output contracts.
What is the MCP isError flag,Include them in context and instruct Claude to report only new or still-unaddressed issues to avoid duplicate comments.,A pattern for communicating tool failures back to the agent - allowing structured error responses.,Use prompt chaining for predictable multi-aspect reviews; use dynamic decomposition for open-ended investigation tasks based on intermediate findings.,A hook pattern that intercepts tool results for transformation before the model processes them (e.g. normalizing data formats).,b,A pattern for communicating tool failures back to the agent - allowing structured error responses.
What are the four categories of tool errors,Transient errors (timeouts/service unavailability) - validation errors (invalid input) - business errors (policy violations) and permission errors.,Restricts tool access during skill execution (e.g. limiting to file write operations to prevent destructive actions).,Claude reasons about which tool to call next based on context as opposed to pre-configured decision trees or fixed tool sequences.,For blocking workflows like pre-merge checks where developers wait for results.,a,Transient errors (timeouts/service unavailability) - validation errors (invalid input) - business errors (policy violations) and permission errors.
Why are uniform error responses problematic,In ~/.claude/commands/ directory.,Models start giving inconsistent answers and referencing 'typical patterns' rather than specific classes discovered earlier.,Generic 'Operation failed' messages prevent the agent from making appropriate recovery decisions.,Having Claude ask questions to surface considerations the developer may not have anticipated before implementing.,c,Generic 'Operation failed' messages prevent the agent from making appropriate recovery decisions.
What should structured error metadata include,errorCategory (transient/validation/permission) - isRetryable boolean and human-readable descriptions.,To enable correct temporal interpretation and prevent temporal differences from being misinterpreted as contradictions.,No. Subagents operate with isolated context and do not automatically inherit the coordinator's conversation history.,Content search - searching file contents for patterns like function names - error messages or import statements.,a,errorCategory (transient/validation/permission) - isRetryable boolean and human-readable descriptions.
What is the difference between access failures and valid empty results,Having Claude ask questions to surface considerations the developer may not have anticipated before implementing.,Use prompt chaining for predictable multi-aspect reviews; use dynamic decomposition for open-ended investigation tasks based on intermediate findings.,Programmatic enforcement (hooks - prerequisite gates) provides deterministic compliance. Prompt-based guidance has a non-zero failure rate and is probabilistic.,Access failures need retry decisions; valid empty results represent successful queries with no matches and require no retry.,d,Access failures need retry decisions; valid empty results represent successful queries with no matches and require no retry.
What happens when an agent has too many tools,Giving access to too many tools (e.g. 18 instead of 4-5) degrades tool selection reliability by increasing decision complexity.,Rename tools and update descriptions to eliminate functional overlap - or split generic tools into purpose-specific tools with defined input/output contracts.,Content search - searching file contents for patterns like function names - error messages or import statements.,When prior tool results are stale - starting fresh with injected summaries is more reliable than resuming with outdated information.,a,Giving access to too many tools (e.g. 18 instead of 4-5) degrades tool selection reliability by increasing decision complexity.
What is scoped tool access,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md (e.g. testing.md - api-conventions.md).,General instructions like 'be conservative' fail to improve precision; specific categorical criteria (what to flag vs skip) are more effective.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,Anthropic's SDK for building agentic applications including multi-agent orchestration - subagent delegation - tool integration and lifecycle hooks.,c,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.
What does tool_choice: 'auto' do,Claude reasons about which tool to call next based on context as opposed to pre-configured decision trees or fixed tool sequences.,Access failures need retry decisions; valid empty results represent successful queries with no matches and require no retry.,The model may return text instead of calling a tool (default behavior).,Models start giving inconsistent answers and referencing 'typical patterns' rather than specific classes discovered earlier.,c,The model may return text instead of calling a tool (default behavior).
What does tool_choice: 'any' do,Customer requests for a human - policy exceptions/gaps (not just complex cases) and inability to make meaningful progress.,Guarantees the model calls a tool rather than returning conversational text - but the model can choose which tool.,For non-blocking - latency-tolerant workloads (overnight reports - weekly audits - nightly test generation).,Annotate conflicts with source attribution rather than arbitrarily selecting one value.,b,Guarantees the model calls a tool rather than returning conversational text - but the model can choose which tool.
What does forced tool selection do,Ask for additional identifiers rather than selecting based on heuristics.,In project-level .mcp.json file (shared via version control).,Forces the model to call a specific named tool: {'type': 'tool' - 'name': 'tool_name'}.,They demonstrate handling of ambiguous scenarios (e.g. tool selection - edge cases) and enable generalization to novel patterns.,c,Forces the model to call a specific named tool: {'type': 'tool' - 'name': 'tool_name'}.
Where should shared team MCP servers be configured,A pattern where a coordinator agent manages all inter-subagent communication - error handling and information routing centrally.,In project-level .mcp.json file (shared via version control).,For non-blocking - latency-tolerant workloads (overnight reports - weekly audits - nightly test generation).,The mechanism for spawning subagents. The coordinator's allowedTools must include 'Task' to invoke subagents.,b,In project-level .mcp.json file (shared via version control).
Where should personal/experimental MCP servers be configured,No. They eliminate syntax errors but don't prevent semantic issues like line items not summing to total or values in wrong fields.,In user-level ~/.claude.json file.,Programmatic interception points (e.g. PostToolUse) that transform data or enforce rules before/after tool execution.,When source documents may not contain the information - to prevent the model from fabricating values to satisfy required fields.,b,In user-level ~/.claude.json file.
How are credentials managed in .mcp.json,Programmatic enforcement (hooks - prerequisite gates) provides deterministic compliance. Prompt-based guidance has a non-zero failure rate and is probabilistic.,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,Using environment variable expansion (e.g. ${GITHUB_TOKEN}) to avoid committing secrets.,Models reliably process information at the beginning and end of long inputs but may omit findings from middle sections.,c,Using environment variable expansion (e.g. ${GITHUB_TOKEN}) to avoid committing secrets.
What are MCP resources used for,Exposing content catalogs (issue summaries - documentation hierarchies - database schemas) to reduce exploratory tool calls.,In user-level ~/.claude.json file.,Programmatic interception points (e.g. PostToolUse) that transform data or enforce rules before/after tool execution.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,a,Exposing content catalogs (issue summaries - documentation hierarchies - database schemas) to reduce exploratory tool calls.
When should you use existing community MCP servers vs custom implementations,Use existing community MCP servers for standard integrations (e.g. Jira); reserve custom servers for team-specific workflows.,Referencing external files to keep CLAUDE.md modular (e.g. importing specific standards files relevant to each package).,Tool descriptions. Minimal descriptions lead to unreliable selection among similar tools.,Files with YAML frontmatter paths fields containing glob patterns activate rules only when editing matching files.,a,Use existing community MCP servers for standard integrations (e.g. Jira); reserve custom servers for team-specific workflows.
What is Grep used for in Claude Code,Content search - searching file contents for patterns like function names - error messages or import statements.,Splitting large reviews into per-file local analysis passes plus cross-file integration passes to avoid attention dilution and contradictory findings.,When business rules require guaranteed compliance - as hooks provide deterministic guarantees.,Appending specific validation errors to the prompt on retry to guide the model toward correction.,a,Content search - searching file contents for patterns like function names - error messages or import statements.
What is Glob used for in Claude Code,2-4 targeted examples for ambiguous scenarios showing reasoning for why one action was chosen over alternatives.,Block policy-violating actions (e.g. refunds exceeding $500) and redirect to alternative workflows like human escalation.,When source documents may not contain the information - to prevent the model from fabricating values to satisfy required fields.,File path pattern matching - finding files by name or extension patterns (e.g. **/*.test.tsx).,d,File path pattern matching - finding files by name or extension patterns (e.g. **/*.test.tsx).
When should Read + Write be used instead of Edit,For simple - well-scoped changes (e.g. adding a single validation check to one function - a single-file bug fix).,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,When Edit fails due to non-unique text matches - use Read to load full file contents followed by Write as a fallback.,97% overall accuracy may mask poor performance on specific document types or fields.,c,When Edit fails due to non-unique text matches - use Read to load full file contents followed by Write as a fallback.
What is the best approach for building codebase understanding,Isolating verbose discovery output and returning summaries to preserve main conversation context during multi-phase tasks.,No. They eliminate syntax errors but don't prevent semantic issues like line items not summing to total or values in wrong fields.,Start with Grep to find entry points - then use Read to follow imports and trace flows - rather than reading all files upfront.,It can lead to incomplete coverage of broad research topics - missing important aspects that weren't explicitly assigned to any subagent.,c,Start with Grep to find entry points - then use Read to follow imports and trace flows - rather than reading all files upfront.
What is the CLAUDE.md configuration hierarchy,User-level (~/.claude/CLAUDE.md) - project-level (.claude/CLAUDE.md or root CLAUDE.md) and directory-level (subdirectory CLAUDE.md files).,97% overall accuracy may mask poor performance on specific document types or fields.,Transient errors (timeouts/service unavailability) - validation errors (invalid input) - business errors (policy violations) and permission errors.,Anthropic's SDK for building agentic applications including multi-agent orchestration - subagent delegation - tool integration and lifecycle hooks.,a,User-level (~/.claude/CLAUDE.md) - project-level (.claude/CLAUDE.md or root CLAUDE.md) and directory-level (subdirectory CLAUDE.md files).
Are user-level CLAUDE.md instructions shared with teammates,Measuring error rates in high-confidence extractions and detecting novel error patterns.,They are poor proxies for actual case complexity; the agent may be incorrectly confident on hard cases.,No. Honor explicit customer requests for human agents immediately without first attempting investigation.,No. Instructions in ~/.claude/CLAUDE.md are not shared via version control and apply only to that user.,d,No. Instructions in ~/.claude/CLAUDE.md are not shared via version control and apply only to that user.
What is the @import syntax used for,A pattern for communicating tool failures back to the agent - allowing structured error responses.,Guarantees the model calls a tool rather than returning conversational text - but the model can choose which tool.,Referencing external files to keep CLAUDE.md modular (e.g. importing specific standards files relevant to each package).,User-level (~/.claude/CLAUDE.md) - project-level (.claude/CLAUDE.md or root CLAUDE.md) and directory-level (subdirectory CLAUDE.md files).,c,Referencing external files to keep CLAUDE.md modular (e.g. importing specific standards files relevant to each package).
What is the .claude/rules/ directory for,Guarantees the model calls a tool rather than returning conversational text - but the model can choose which tool.,When source documents may not contain the information - to prevent the model from fabricating values to satisfy required fields.,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md (e.g. testing.md - api-conventions.md).,In .claude/commands/ directory (shared via version control).,c,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md (e.g. testing.md - api-conventions.md).
Where should project-scoped slash commands be stored,In .claude/commands/ directory (shared via version control).,High false positive rates in some categories undermine confidence in accurate categories - reducing overall trust.,Restricts tool access during skill execution (e.g. limiting to file write operations to prevent destructive actions).,Access failures need retry decisions; valid empty results represent successful queries with no matches and require no retry.,a,In .claude/commands/ directory (shared via version control).
Where should personal slash commands be stored,A specialized agent invoked by a coordinator to perform specific tasks (e.g. web search - document analysis - synthesis).,When deterministic compliance is required - such as identity verification before financial operations where errors have consequences.,A feature that can reduce costs by caching repeated prompt content.,In ~/.claude/commands/ directory.,d,In ~/.claude/commands/ directory.
What does context: fork do in skill frontmatter,To enable correct temporal interpretation and prevent temporal differences from being misinterpreted as contradictions.,Runs skills in an isolated sub-agent context - preventing skill outputs from polluting the main conversation.,Models start giving inconsistent answers and referencing 'typical patterns' rather than specific classes discovered earlier.,Tool results should be appended to the conversation history so the model can reason about the next action based on new information.,b,Runs skills in an isolated sub-agent context - preventing skill outputs from polluting the main conversation.
What does allowed-tools do in skill frontmatter,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,Using environment variable expansion (e.g. ${GITHUB_TOKEN}) to avoid committing secrets.,Condensing numerical values - percentages - dates and customer-stated expectations into vague summaries that lose critical details.,Restricts tool access during skill execution (e.g. limiting to file write operations to prevent destructive actions).,d,Restricts tool access during skill execution (e.g. limiting to file write operations to prevent destructive actions).
What does argument-hint do in skill frontmatter,Trim to only relevant fields before they accumulate in context (e.g. keeping only return-relevant fields from order lookups).,Condensing numerical values - percentages - dates and customer-stated expectations into vague summaries that lose critical details.,For blocking workflows like pre-merge checks where developers wait for results.,Prompts developers for required parameters when they invoke the skill without arguments.,d,Prompts developers for required parameters when they invoke the skill without arguments.
What is the difference between skills and CLAUDE.md,High false positive rates in some categories undermine confidence in accurate categories - reducing overall trust.,Skills are on-demand invocation for task-specific workflows; CLAUDE.md provides always-loaded universal standards.,The mechanism for spawning subagents. The coordinator's allowedTools must include 'Task' to invoke subagents.,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,b,Skills are on-demand invocation for task-specific workflows; CLAUDE.md provides always-loaded universal standards.
How do path-specific rules work in .claude/rules/,Correlating batch request/response pairs and identifying failed documents for resubmission.,Tool use (tool_use) with JSON schemas - which eliminates JSON syntax errors.,Files with YAML frontmatter paths fields containing glob patterns activate rules only when editing matching files.,Input formats - example queries - edge cases and boundary explanations clarifying when to use it versus similar alternatives.,c,Files with YAML frontmatter paths fields containing glob patterns activate rules only when editing matching files.
What is the advantage of glob-pattern rules over directory-level CLAUDE.md,Access failures need retry decisions; valid empty results represent successful queries with no matches and require no retry.,When source documents may not contain the information - to prevent the model from fabricating values to satisfy required fields.,Start with Grep to find entry points - then use Read to follow imports and trace flows - rather than reading all files upfront.,They can apply conventions to files spread across multiple directories (e.g. **/*.test.tsx for all test files).,d,They can apply conventions to files spread across multiple directories (e.g. **/*.test.tsx for all test files).
When should plan mode be used,Include them in context and instruct Claude to report only new or still-unaddressed issues to avoid duplicate comments.,Failure type - attempted query - partial results and potential alternative approaches.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,For complex tasks involving large-scale changes - multiple valid approaches - architectural decisions and multi-file modifications.,d,For complex tasks involving large-scale changes - multiple valid approaches - architectural decisions and multi-file modifications.
When is direct execution appropriate,A Claude feature for more thorough reasoning (less effective at catching issues than independent review instances).,Adding enum values like 'other' with an accompanying detail field for extensible categorization when predefined categories don't fit.,For simple - well-scoped changes (e.g. adding a single validation check to one function - a single-file bug fix).,Trim to only relevant fields before they accumulate in context (e.g. keeping only return-relevant fields from order lookups).,c,For simple - well-scoped changes (e.g. adding a single validation check to one function - a single-file bug fix).
What does plan mode enable,Tool descriptions. Minimal descriptions lead to unreliable selection among similar tools.,Block policy-violating actions (e.g. refunds exceeding $500) and redirect to alternative workflows like human escalation.,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md (e.g. testing.md - api-conventions.md).,Safe codebase exploration and design before committing to changes - preventing costly rework.,d,Safe codebase exploration and design before committing to changes - preventing costly rework.
What is the interview pattern in iterative refinement,Having Claude ask questions to surface considerations the developer may not have anticipated before implementing.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,Rename tools and update descriptions to eliminate functional overlap - or split generic tools into purpose-specific tools with defined input/output contracts.,For complex tasks involving large-scale changes - multiple valid approaches - architectural decisions and multi-file modifications.,a,Having Claude ask questions to surface considerations the developer may not have anticipated before implementing.
When should all issues be provided in a single message vs sequentially,Ambiguous or overlapping tool descriptions (e.g. analyze_content vs analyze_document with near-identical descriptions).,Task decomposition - delegation to subagents - result aggregation and deciding which subagents to invoke based on query complexity.,Provide all issues together when they interact; fix them sequentially when they are independent problems.,Achieving consistently formatted - actionable output when detailed instructions alone produce inconsistent results.,c,Provide all issues together when they interact; fix them sequentially when they are independent problems.
What is test-driven iteration,Prompts developers for required parameters when they invoke the skill without arguments.,Rename tools and update descriptions to eliminate functional overlap - or split generic tools into purpose-specific tools with defined input/output contracts.,When source documents may not contain the information - to prevent the model from fabricating values to satisfy required fields.,Writing test suites first - then iterating by sharing test failures to guide progressive improvement.,d,Writing test suites first - then iterating by sharing test failures to guide progressive improvement.
What is the -p flag (--print) used for,When the required information is simply absent from the source document (vs format or structural errors).,Running Claude Code in non-interactive mode in automated pipelines - preventing interactive input hangs.,The model may return text instead of calling a tool (default behavior).,Generic 'Operation failed' messages prevent the agent from making appropriate recovery decisions.,b,Running Claude Code in non-interactive mode in automated pipelines - preventing interactive input hangs.
What are --output-format json and --json-schema used for,Programmatic interception points (e.g. PostToolUse) that transform data or enforce rules before/after tool execution.,For simple - well-scoped changes (e.g. adding a single validation check to one function - a single-file bug fix).,Enforcing structured output in CI contexts to produce machine-parseable findings for automated posting as PR comments.,They are poor proxies for actual case complexity; the agent may be incorrectly confident on hard cases.,c,Enforcing structured output in CI contexts to produce machine-parseable findings for automated posting as PR comments.
Why should a separate Claude instance review generated code,Testing standards - valuable test criteria and available fixtures to improve quality and reduce low-value test output.,They can apply conventions to files spread across multiple directories (e.g. **/*.test.tsx for all test files).,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,Session context isolation - the same Claude session that generated code is less effective at reviewing its own changes.,d,Session context isolation - the same Claude session that generated code is less effective at reviewing its own changes.
